-18,-16260,0,-16260
-5,-9779,-775,-9004
1,18597,-310,18906
11,24231,2896,21335
-11,-32318,-1824,-30495
3,-20915,-1562,-19354
11,17824,7127,10697
23,42806,14219,28588
10,-13698,1582,-15279
-19,-39779,-25638,-14141
-29,-35526,-30104,-5422
-23,22336,266,22071
-18,31906,32955,-1049
-23,-16467,2712,-19179
-19,-36469,-28803,-7666
-7,-13778,-18808,5031
9,8604,1607,6996
-8,-23520,-25847,2328
-25,-59521,-46096,-13425
-2,-14753,-338,-14415
24,65996,55662,10334
30,33905,34259,-354
18,-39176,-22866,-16310
16,-25879,-19265,-6614
-9,292,-6425,6716
-20,-241,5001,-5242
-12,13908,22091,-8184
-7,39050,34436,4613
-5,1149,265,884
7,-11555,-6100,-5455
-5,-11614,-15056,3443
-7,-23474,-23105,-370
-1,-8829,-3619,-5211
15,32893,34141,-1248
5,6011,875,5135
-2,-26339,-27369,1029
-19,-32093,-31927,-165
-14,4626,5703,-1077
-12,15313,15583,-270
5,22800,23579,-779
-1,-10287,-11275,988
-20,-40140,-43347,3207
1,-23222,-13127,-10095
15,42920,43797,-877
-5,5792,-1217,7009
-22,-66672,-64851,-1820
-32,-34651,-35664,1013
-34,8083,4373,3710
2,28927,36152,-7224
11,28202,23432,4770
20,-14075,-10260,-3815
18,-42448,-38516,-3933
-8,-25862,-27872,2010
-3,-17376,-13656,-3720
20,47676,49897,-2221
24,62086,57119,4967
25,-3113,-3617,504
8,-25958,-25776,-182
7,962,908,54
-17,3865,2459,1406
-22,2931,1927,1004
-2,18238,20782,-2544
13,52898,51807,1092
14,2558,1533,1024
-10,-50987,-51542,555
-23,-47611,-47761,150
-21,-1200,-1100,-100
-8,37339,36504,835
20,34518,35551,-1033
5,-7943,-9126,1182
0,-49424,-49144,-280
-12,-35870,-34550,-1320
1,26341,25839,502
6,25418,25835,-417
16,20281,20173,107
-3,-23067,-23306,239
1,-18334,-18294,-40
1,6348,7003,-655
7,30972,30017,956
5,793,1007,-214
-7,-10355,-11187,831
-20,-27228,-27870,641
-3,7175,7985,-809
8,38915,39266,-351
4,8259,7590,670
20,-19665,-17853,-1813
13,4161,4152,8
-12,-17107,-18764,1657
-30,-45744,-45400,-344
-38,-6002,-6173,171
-11,36050,36495,-446
3,36640,36612,28
2,-14005,-14180,174
4,-51750,-50226,-1524
19,-2162,-1532,-630
7,10607,10092,515
-16,-32188,-32743,555
-20,-31700,-30700,-1001
-10,28787,29031,-244
11,45712,45554,158
25,20562,20724,-162
0,-31073,-31513,440
-30,-73576,-73736,159
-6,-8143,-7316,-827
28,93266,93168,97
6,32204,31700,504
7,-64699,-64100,-599
-14,-38202,-37892,-310
-33,-1147,-2648,1501
-33,-17978,-16966,-1012
-27,18950,18966,-16
-13,10977,11188,-211
-15,-24025,-23816,-209
4,-25109,-25147,38
7,-11182,-10737,-445
-1,-15898,-16088,190
4,-28391,-28273,-118
-11,-4926,-4845,-81
9,11616,11427,189
29,36631,37035,-404
3,11626,11467,159
-7,-56271,-56399,128
-5,-8360,-8178,-182
-2,46383,46119,264
-17,-3293,-3255,-38
-14,-22282,-22274,-8
16,21801,21922,-121
40,58348,58305,42
28,-45,-106,61
6,-56610,-56766,156
7,-16225,-16444,219
-17,27464,27379,85
-27,3581,3270,311
-29,-9083,-8746,-337
0,38762,38377,385
24,38759,38880,-121
21,-1689,-1819,130
-8,-70275,-70096,-179
-34,-66605,-66492,-113
-41,-11487,-11235,-252
-7,54469,54543,-74
27,69480,70061,-581
40,17485,17248,237
25,-54515,-53822,-693
-11,-68252,-68581,329
-39,-42080,-41264,-816
-10,41244,40579,665
16,95797,96664,-867
24,38639,38205,434
24,-44658,-44455,-203
7,-35740,-36147,408
-21,-27959,-28168,208
-29,-13442,-13348,-94
3,48926,48685,241
9,59838,59919,-82
8,-11026,-10928,-98
-14,-65166,-64652,-513
-29,-37934,-37591,-343
4,20183,20487,-304
36,81815,81834,-19
44,36635,36242,392
0,-71029,-71048,19
-29,-82928,-83853,924
-34,-4027,-3704,-323
-7,82497,81306,1191
25,68766,68881,-115
17,1027,323,703
-4,-73616,-73701,85
-3,-43974,-44390,416
17,48384,47779,604
25,57176,56736,439
1,-14904,-15241,337
-9,-45833,-46134,300
-8,3785,3706,79
-8,36389,36500,-111
-6,6509,6690,-181
-17,-17481,-17150,-331
-6,-11603,-11399,-203
13,17960,18029,-68
-4,5195,5350,-156
-29,-63299,-63012,-287
-27,-41797,-41556,-241
6,50189,50433,-244
12,46489,46787,-298
2,-32651,-32492,-159
-21,-72936,-72795,-141
-12,-14605,-14550,-56
11,44912,44946,-34
34,57513,57416,97
4,-23765,-23776,10
-11,-66852,-67011,160
-26,-30194,-30265,71
-33,24011,24147,-136
-10,21644,21850,-205
28,52689,52823,-133
23,13652,13904,-252
12,-57495,-57434,-61
-4,-52954,-52858,-96
-14,5636,5579,57
2,32396,32300,96
2,37156,37106,50
16,12328,12177,151
13,-8042,-8208,165
10,-1858,-2110,252
5,-10847,-11053,206
2,10722,10498,224
-18,-5109,-5094,-15
-7,-439,-412,-27
-10,14469,14580,-110
-20,-1099,-811,-288
-24,-39103,-38662,-441
-28,-17478,-17393,-85
-31,-16520,-16426,-94
7,8947,9070,-123
2,13293,13448,-155
12,-25187,-25027,-160
-3,-51504,-51335,-169
-15,-17171,-17127,-44
-16,-16931,-16897,-34
-24,9964,9948,15
-5,7971,8036,-65
-7,2841,2940,-99
-18,-26193,-26050,-144
-6,-37235,-37140,-95
-11,4014,4033,-19
-24,-19255,-19190,-65
-31,-46913,-46803,-110
-7,6341,6336,4
-4,20459,20532,-73
17,357,421,-63
18,-17551,-17528,-23
-7,-28780,-28745,-35
-6,-40460,-40422,-38
-12,13000,12984,16
-11,23791,23864,-73
-9,-6112,-5959,-153
11,15751,15802,-50
5,3521,3537,-16
-17,-37751,-37615,-136
-20,-46633,-46409,-224
6,32840,32931,-91
27,61926,61907,19
19,459,389,71
-1,-57206,-57374,168
1,-21829,-22121,292
19,50421,50038,383
17,47394,47210,184
-7,-23406,-23499,93
-26,-49626,-49595,-31
-23,797,884,-86
-17,34739,34896,-158
-19,5288,5526,-238
-12,-27534,-27352,-182
4,-7944,-7902,-42
7,3568,3591,-23
-2,-25679,-25616,-63
-6,-33068,-32999,-69
-23,-18447,-18427,-20
4,14065,14075,-10
0,26221,26228,-7
8,5470,5501,-31
4,-31217,-31131,-86
-16,-15889,-15871,-17
-15,-25616,-25486,-130
-10,14660,14763,-103
-13,15062,15276,-214
2,-9205,-8911,-294
11,6977,7078,-101
25,14579,14485,93
12,-15182,-15252,70
11,-15787,-15993,206
6,1133,913,220
-15,8379,8215,165
-8,-3816,-3819,2
7,35230,35106,124
-2,23563,23509,54
-10,-36269,-36079,-191
-6,-20711,-20583,-129
-9,12771,12845,-74
-3,1946,2055,-109
7,2781,2838,-57
-12,-10015,-9867,-147
-25,-44783,-44441,-342
-2,-4044,-3904,-140
21,60385,60380,5
18,16792,16821,-30
8,-47484,-47549,65
-8,-36425,-36588,163
6,18328,18049,279
-1,33213,33085,129
-19,-7932,-7822,-110
-30,-46022,-45659,-363
1,22085,22241,-155
6,45086,45266,-179
-7,-20788,-20570,-217
-29,-79794,-79557,-237
-20,-19021,-18894,-127
-5,33915,34071,-156
-3,18700,18823,-123
-3,-33452,-33338,-113
-21,-43367,-43321,-46
-19,-24506,-24473,-33
-2,11447,11493,-46
1,24772,24800,-28
-13,-31548,-31493,-56
-16,-46511,-46433,-79
-24,-15978,-15891,-87
5,22150,22241,-91
3,17035,17130,-95
-5,-22355,-22283,-73
-3,-45883,-45798,-84
-3,7645,7658,-13
8,16130,16139,-9
-11,-10858,-10801,-57
-18,-30203,-30103,-100
0,-1440,-1333,-107
15,48405,48421,-16
20,12959,12921,38
-1,-38092,-38122,31
-23,-48004,-48016,13
-5,3279,3241,38
22,72995,72818,177
11,30807,30739,68
-22,-72104,-72019,-85
-18,-51473,-51380,-93
-12,35282,35487,-206
-18,25887,26367,-481
-20,-34534,-33914,-620
-20,-24715,-24585,-130
-2,4011,4128,-117
16,16286,16490,-204
-6,-21036,-20958,-78
-13,-59053,-58960,-93
-21,-25569,-25592,22
1,35297,35210,87
19,36388,36497,-109
13,5675,5685,-11
21,-30799,-30759,-40
13,-3335,-3511,175
18,20481,20248,233
8,7802,7734,68
-15,-4569,-4687,117
-1,-1500,-1463,-37
27,63301,63220,81
10,35334,35183,151
6,-42686,-42687,1
-19,-38226,-38334,107
-20,6881,6728,153
0,26369,26450,-80
4,42028,42060,-32
6,-12530,-12398,-132
-17,-46875,-46736,-139
-17,-28622,-28475,-147
-21,-2392,-2212,-180
-5,25049,25222,-173
22,22220,22415,-195
17,10409,10383,26
16,-33926,-33942,16
20,-14020,-14218,198
1,14963,14672,291
10,6415,6318,97
6,22275,22173,102
-4,17720,17615,105
11,-1753,-1780,27
24,41146,40977,168
30,32734,32590,144
20,-10310,-10322,12
8,-13274,-13360,86
7,10432,10326,105
17,43935,43837,99
18,39871,39803,68
13,7901,7898,3
-10,-21506,-21477,-28
-27,-23019,-23051,33
-16,10025,10036,-11
10,56980,56913,67
33,45975,45990,-15
38,-156,-223,67
-5,-58247,-58303,55
-20,-60161,-60250,89
-23,12361,12200,160
-26,51764,51800,-36
-25,-3933,-3631,-301
-7,-4902,-4822,-81
-2,-309,-300,-9
7,-14913,-14843,-71
24,-9573,-9518,-55
17,5041,4946,96
12,-16272,-16247,-26
-14,-28433,-28389,-44
-23,-8865,-8871,6
8,36918,36823,95
8,59183,58934,248
16,-3275,-3284,8
8,-35706,-35699,-6
-8,-13269,-13433,164
-29,-32195,-32051,-144
-4,18227,18293,-67
-5,41282,41398,-116
3,6333,6662,-329
0,-35286,-34975,-311
-10,-16337,-16221,-116
4,-7808,-7720,-88
23,37360,37122,237
-3,3853,3652,201
-31,-70256,-70076,-180
-23,-29610,-29370,-240
-22,43584,43906,-322
9,35864,36327,-463
33,17972,18312,-340
17,-9792,-9780,-12
-20,-84986,-84576,-410
-17,-39865,-39791,-74
15,71669,71584,85
22,75908,75791,117
30,-6017,-6306,289
0,-47440,-47682,241
-25,-40891,-41211,320
-4,8530,8336,194
1,71678,71594,84
18,31991,31933,58
11,-22471,-22531,60
9,-15111,-15290,179
-16,-29870,-29913,43
-22,-11753,-11660,-93
-7,16354,16460,-106
17,57515,57540,-25
-3,-4534,-4242,-293
-22,-68608,-68252,-357
-34,-52050,-51690,-359
-2,39260,39499,-239
18,57528,57814,-286
32,17183,17302,-119
28,-37495,-37556,60
-10,-45761,-45811,51
-31,-46319,-46335,16
-28,12497,12481,16
-2,69866,69863,3
-2,26592,26868,-276
4,-29434,-29274,-159
-8,-44734,-44573,-161
-26,-32202,-31891,-312
-34,-33874,-33491,-383
-32,-616,-592,-25
-16,13723,13733,-10
-12,-5054,-5014,-40
19,-6936,-6888,-48
27,1542,1535,7
11,-21660,-21645,-15
-23,-72847,-72781,-66
-24,-23565,-23550,-15
-25,32072,32128,-56
12,56511,56624,-113
26,28684,28817,-133
-3,-32343,-32248,-95
-26,-94893,-94648,-245
-25,-20687,-20539,-148
8,68502,68677,-175
0,36861,37066,-205
-19,-53779,-53511,-268
2,-45007,-44853,-154
31,60675,60654,20
17,30042,29883,159
4,-55375,-55553,178
13,-15708,-15872,164
-8,32078,31949,129
-6,1784,1713,71
-11,-3042,-2978,-64
1,27232,27210,23
7,9784,9842,-58
16,10619,10567,52
-2,-22381,-22397,16
-7,-25501,-25546,44
-6,-990,-997,7
-8,23228,23254,-26
8,11762,11799,-37
-4,-246,-158,-88
-4,-18629,-18560,-69
-8,-19648,-19497,-150
-18,417,583,-165
-22,-20506,-20151,-355
-28,-14246,-13925,-321
-31,-15898,-15730,-168
-19,-12139,-12020,-119
11,15931,16093,-162
14,7239,7398,-159
-8,-52442,-52334,-109
7,-44979,-44869,-110
7,26796,26836,-40
-2,17095,17041,53
-13,-35342,-35267,-75
-13,-5715,-5700,-15
16,36553,36478,76
8,27412,27438,-26
-7,-35342,-35284,-58
8,-30116,-30118,1
-5,25884,25818,67
13,16709,16598,110
5,-2014,-2047,34
14,13579,13391,188
27,9838,9647,191
2,11668,11429,238
-17,-42710,-42811,102
-21,-16871,-16948,77
-2,50383,50285,98
5,36511,36566,-55
-8,-20262,-20093,-168
-4,-41894,-41743,-151
-10,-6800,-6680,-120
5,17219,17235,-16
-6,-3693,-3588,-105
3,-6544,-6525,-19
25,11323,11184,139
31,41711,41327,383
32,939,721,218
-6,-36360,-36520,160
-28,-37166,-37489,323
-22,11831,11778,53
-11,64949,64776,173
9,31296,31240,56
3,-14961,-14888,-73
-11,-46125,-45995,-130
5,-23325,-23316,-8
6,30489,30442,47
-4,3834,3829,5
-19,-43752,-43567,-185
-28,-22138,-21831,-307
-9,15553,15744,-192
17,45876,46007,-131
16,12784,12866,-82
19,-34907,-35028,121
10,-25509,-25630,121
-16,-13121,-13194,73
-6,-4037,-4170,133
-17,25347,25446,-99
-24,2093,2319,-226
-14,-23156,-22872,-284
9,28487,28465,22
34,33911,33917,-6
31,-2726,-2730,5
-10,-62759,-62639,-120
-25,-60074,-60253,178
-31,13885,13942,-57
-21,51399,51499,-100
-4,19581,19893,-312
5,1226,1385,-159
14,-19060,-18965,-95
5,-26979,-26843,-136
3,-19832,-19801,-31
-3,-5938,-5916,-23
-22,-4953,-4770,-183
-31,-24665,-24294,-372
-32,-7043,-6889,-155
9,37652,37563,89
18,32611,32987,-377
30,-10906,-10931,25
12,-52162,-51890,-273
1,-22401,-22527,126
4,4164,4022,142
15,53833,53524,309
23,37848,37577,270
0,-10913,-10931,18
-27,-48667,-48410,-258
-26,-18043,-17850,-193
1,56758,56795,-37
2,42614,42765,-151
1,-29119,-28968,-152
-16,-56443,-56294,-149
-25,-26559,-26403,-156
-28,-11299,-11070,-229
-19,10528,10700,-172
19,28094,28279,-185
27,23821,23932,-111
22,-26567,-26549,-18
7,-52933,-52909,-24
-14,-17096,-17119,22
-1,18195,18139,55
